id.rownames	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ensembl_gene_id	mgi_symbol	gene_biotype
ENSRNOG00000050469	135.970241	-0.332449327	0.157752824	-2.107406496	0.035082359	0.468950803	ENSRNOG00000050469		protein_coding
ENSRNOG00000060129	537.2785496	-0.208450354	0.099000359	-2.105551509	0.035243329	0.470625198	ENSRNOG00000060129		protein_coding
ENSRNOG00000005861	673.8103169	-0.99995925	0.475112915	-2.104677052	0.035319429	0.471164048	ENSRNOG00000005861		protein_coding
ENSRNOG00000026136	339.6116499	-0.25377415	0.120674306	-2.102967546	0.035468607	0.471721729	ENSRNOG00000026136		protein_coding
ENSRNOG00000005930	249.3828662	-0.387553674	0.184543906	-2.100062155	0.035723374	0.473819791	ENSRNOG00000005930		protein_coding
ENSRNOG00000012183	166.507019	-0.295385111	0.140663664	-2.099938985	0.035734209	0.473819791	ENSRNOG00000012183		protein_coding
ENSRNOG00000012356	182.4891758	-0.56004817	0.267249593	-2.09559971	0.036117715	0.476644485	ENSRNOG00000012356		protein_coding
ENSRNOG00000011796	6243.530297	-0.481532176	0.229663152	-2.096688876	0.036021126	0.476644485	ENSRNOG00000011796		protein_coding
ENSRNOG00000006966	1038.209609	-0.231948446	0.110664026	-2.095969706	0.036084878	0.476644485	ENSRNOG00000006966		protein_coding
ENSRNOG00000005353	1328.312771	-0.160006301	0.07632022	-2.096512573	0.036036746	0.476644485	ENSRNOG00000005353		protein_coding
ENSRNOG00000000408	1117.435389	-0.131842984	0.062966455	-2.093860666	0.036272394	0.478070154	ENSRNOG00000000408		protein_coding
