Ensembl_GeneID	Entrez_GeneID	HGNC_GeneSymbol	Inhi_GeneExpression_log2FPKM	Prec_GeneExpression_log2FPKM	ScrInhi_GeneExpression_log2FPKM	ScrPrec_GeneExpression_log2FPKM
ENSRNOG00000018094	29643	Sv2c	0.979233035179057	0.830606580519262	1.03153398682682	1.20624164570608
ENSRNOG00000018095	287707	Nkiras2	3.63421516351496	3.48556623369955	3.62954007326122	3.65530204504171
ENSRNOG00000018092	361226	Cd83	1.1391138014625	1.01038853502607	1.18308780304085	1.01440016889432
ENSRNOG00000018090	361502	Ppp6r1	4.72269569330314	4.70353000730356	4.6308265538086	4.61714074959258
ENSRNOG00000018091	29662	Gdi2	7.28911510874182	7.28747225092056	7.34259132442618	7.3415868785104
ENSRNOG00000041492	100526607	Mir1249	0.181713803547436	0.183250143617131	0.184931101891557	0
ENSRNOG00000055604	100911229	LOC100911229	0	0	0	0
ENSRNOG00000055608	102548695	LOC102548695	1.26334109966498	1.25172542539275	1.26008895112269	1.24345786672044
ENSRNOG00000052954	311113	Ccdc173	0	0.0235731340050036	0.0886867529555629	0.141708684996309
ENSRNOG00000047663	103689972	LOC108348091	0	0	0	0
ENSRNOG00000047662	687880	LOC687880	0	0	0	0
ENSRNOG00000052959	266716	Zscan12	2.74737307504797	2.7601834472967	2.79969905413613	2.696697025341
ENSRNOG00000009545	83581	Polr1a	3.50891343223564	3.22688666647894	3.38876382099715	3.36796152944581
ENSRNOG00000018631	291354	Enkur	0.320212991306333	0.395474119560477	0.306414286904599	0.332033232602844
ENSRNOG00000018639	363253	Zfand2b	3.15024135989237	3.30048821158844	3.15797981937677	3.21482239003781
ENSRNOG00000019326	292027	Cfdp1	5.45386324395169	5.47478249292788	5.4482155865825	5.48073617769561
ENSRNOG00000048172	688319	Rac3	0.669308431938526	0.671297069514605	0.317449635628871	0.665138768253815
ENSRNOG00000048174	497902	Uqcrq	6.82152266219778	7.08268330842191	6.97765272259539	7.04910290265599
ENSRNOG00000019322	25496	Notch1	1.05829620817784	1.10588085503159	1.03012763520838	0.932432150356986
ENSRNOG00000048178	405948	Olr662	0	0	0	0
ENSRNOG00000019328	58835	Phgdh	6.12752981546384	5.91405438228565	6.16775844040425	6.1356163308926
ENSRNOG00000037082	310782	Mybphl	1.17548792867109	1.24731772323457	1.16957876050556	1.11550611480247
ENSRNOG00000037080	293004	Adamts17	0.21234620960504	0.15626678315436	0.130223090317627	0.236797826705962
ENSRNOG00000037081	499886	LOC499886	0	0	0	0
